relationship_id,person_a_id,person_a_name,person_b_id,person_b_name,phone_call_count,phone_call_dates,phone_call_durations_sec,total_call_duration_sec,transaction_count,transaction_dates,transaction_amounts,total_transaction_amount,meeting_count,meeting_dates,meeting_locations,relationship_label,ground_truth_confidence,relationship_type,relationship_description
REL00382,P0190,Raj Agarwal,P0136,Abhishek Bansal,5,2026-02-21; 2024-01-29; 2025-04-16; 2024-12-13; 2025-12-13,610; 563; 567; 656; 506,2902,1,2025-10-26,18348,18348.0,2,2025-03-06; 2024-12-26,Ghaziabad; Ghaziabad,0,0.3298,Known Associate,"Observed interaction between Raj Agarwal and Abhishek Bansal. Available records include 5 calls, 1 transactions, and 2 meetings. Evidence does not establish a meaningful relationship."
REL00383,P0586,Manish Gupta 74594,P0317,Aditya Gupta 48423,0,,,0,2,2025-10-07; 2026-02-27,13024; 11274,24298.0,0,,,0,0.115,Colleague,"Observed interaction between Manish Gupta 74594 and Aditya Gupta 48423. Available records include 0 calls, 2 transactions, and 0 meetings. Evidence does not establish a meaningful relationship."
REL00384,P0032,Deepak Khan,P0525,Divya Bansal 82134,33,2024-05-07; 2024-05-28; 2024-02-16; 2024-06-11; 2024-05-03; 2025-08-23; 2024-03-11; 2024-12-26; 2026-05-12; 2024-01-25; 2026-03-04; 2024-12-23; 2025-05-12; 2026-04-06; 2025-01-22; 2024-10-05; 2024-10-16; 2025-07-30; 2025-10-17; 2025-04-12; 2026-03-29; 2026-08-01; 2024-10-17; 2025-05-06; 2024-01-08; 2025-12-29; 2024-02-21; 2024-01-02; 2024-05-23; 2025-03-06; 2025-07-28; 2025-04-20; 2025-02-09,1374; 1386; 2351; 2845; 3243; 1902; 2153; 1762; 1339; 2464; 1954; 2549; 1963; 1387; 484; 1839; 3463; 944; 1699; 1543; 1867; 2948; 258; 1172; 1474; 255; 214; 1785; 1120; 1565; 1409; 2983; 1023,56717,5,2025-04-26; 2024-07-22; 2024-02-08; 2025-08-25; 2026-01-26,111219; 81407; 158123; 121837; 171600,644186.0,3,2024-07-09; 2025-04-20; 2025-03-27,Noida; Noida; Agra,1,0.8995,Acquaintance,Relationship evidence between Deepak Khan and Divya Bansal 82134. Phone records show 33 calls. Transaction records show 5 transactions. Meeting records show 3 meetings.
REL00385,P0141,Vikram Kumar,P0583,Rahul Patel,3,2024-07-29; 2024-02-20; 2025-12-12,399; 627; 497,1523,0,,,0.0,1,2026-01-06,Delhi,0,0.0709,Acquaintance,"Observed interaction between Vikram Kumar and Rahul Patel. Available records include 3 calls, 0 transactions, and 1 meetings. Evidence does not establish a meaningful relationship."
REL00386,P0359,Nikhil Malhotra 32779,P0113,Rohan Malhotra 57341,4,2025-02-27; 2025-11-21; 2024-07-30; 2025-03-12,326; 260; 100; 893,1579,0,,,0.0,1,2024-11-17,Agra,0,0.1086,Colleague,"Observed interaction between Nikhil Malhotra 32779 and Rohan Malhotra 57341. Available records include 4 calls, 0 transactions, and 1 meetings. Evidence does not establish a meaningful relationship."
REL00387,P0538,Rahul Singh 52287,P0574,Vikram Patel 77188,14,2024-12-23; 2026-08-02; 2024-10-15; 2025-02-27; 2025-11-04; 2025-03-21; 2024-09-10; 2024-11-01; 2024-12-04; 2026-02-10; 2024-09-25; 2026-06-14; 2026-07-11; 2026-08-22,658; 1586; 513; 689; 1512; 587; 1668; 209; 1681; 685; 1313; 308; 870; 1226,13505,4,2026-08-08; 2025-09-09; 2025-08-26; 2024-09-07,33779; 35879; 38148; 61099,168905.0,4,2024-10-18; 2024-08-19; 2025-08-11; 2026-06-21,Faridabad; Jaipur; Faridabad; Delhi,1,0.7235,Former Partner,Relationship evidence between Rahul Singh 52287 and Vikram Patel 77188. Phone records show 14 calls. Transaction records show 4 transactions. Meeting records show 4 meetings.
REL00388,P0575,Arjun Agarwal 22041,P0176,Aditya Khan,11,2024-12-02; 2025-05-27; 2025-03-06; 2024-05-11; 2025-09-11; 2026-01-10; 2025-05-03; 2026-01-10; 2026-08-15; 2024-08-11; 2025-08-12,1430; 1734; 1151; 1375; 1638; 1129; 1253; 612; 264; 570; 382,11538,0,,,0.0,5,2024-04-16; 2024-01-09; 2026-07-04; 2026-02-17; 2025-08-07,Chandigarh; Gurugram; Delhi; Gurugram; Noida,1,0.8339,Colleague,Relationship evidence between Arjun Agarwal 22041 and Aditya Khan. Phone records show 11 calls. Transaction records show 0 transactions. Meeting records show 5 meetings.
REL00389,P0045,Anjali Sharma,P0491,Riya Khan 18221,2,2024-07-16; 2024-10-20,665; 746,1411,2,2026-03-14; 2025-02-26,12641; 11532,24173.0,1,2025-04-28,Agra,0,0.0548,Business Contact,"Observed interaction between Anjali Sharma and Riya Khan 18221. Available records include 2 calls, 2 transactions, and 1 meetings. Evidence does not establish a meaningful relationship."
REL00390,P0129,Karan Patel 93970,P0039,Deepak Khan 71122,12,2024-10-11; 2025-08-03; 2025-03-19; 2026-05-18; 2024-11-07; 2025-01-25; 2026-08-09; 2024-03-06; 2024-05-31; 2026-01-10; 2025-09-17; 2024-08-16,2440; 343; 3490; 232; 699; 3139; 1577; 556; 678; 3309; 590; 955,18008,3,2026-01-21; 2026-06-03; 2025-04-17,97377; 235043; 113149,445569.0,4,2026-06-04; 2024-12-30; 2025-06-25; 2025-12-24,Agra; Jaipur; Ghaziabad; Meerut,1,0.8839,Colleague,Relationship evidence between Karan Patel 93970 and Deepak Khan 71122. Phone records show 12 calls. Transaction records show 3 transactions. Meeting records show 4 meetings.
REL00391,P0483,Nisha Patel 11594,P0003,Sahil Kumar,18,2024-09-24; 2025-12-23; 2025-01-04; 2025-07-19; 2024-11-01; 2024-07-12; 2024-09-22; 2025-12-13; 2024-12-01; 2025-02-10; 2025-02-01; 2024-08-14; 2024-03-27; 2024-03-15; 2024-08-16; 2026-08-14; 2025-07-09; 2025-07-17,819; 158; 479; 667; 435; 450; 1757; 894; 382; 1433; 1577; 337; 128; 569; 459; 694; 996; 659,12893,2,2024-07-06; 2024-09-28,55290; 29251,84541.0,5,2025-11-02; 2024-04-20; 2024-01-20; 2024-11-04; 2024-08-25,Chandigarh; Agra; Jaipur; Lucknow; Jaipur,0,0.4735,Business Contact,"Observed interaction between Nisha Patel 11594 and Sahil Kumar. Available records include 18 calls, 2 transactions, and 5 meetings. Evidence does not establish a meaningful relationship."
REL00392,P0554,Yash Khan 6118,P0029,Vikram Gupta,14,2025-08-05; 2026-05-31; 2024-10-14; 2025-01-25; 2026-02-10; 2025-08-19; 2024-02-21; 2024-06-05; 2026-06-26; 2026-04-04; 2025-10-31; 2024-04-01; 2025-10-24; 2025-11-09,1057; 957; 645; 191; 1013; 599; 445; 136; 678; 485; 1783; 712; 179; 377,9257,5,2024-08-21; 2025-07-03; 2026-03-23; 2026-03-21; 2026-05-04,50052; 8151; 23413; 23231; 38743,143590.0,2,2025-03-08; 2025-02-04,Meerut; Gurugram,1,0.698,Associate,Relationship evidence between Yash Khan 6118 and Vikram Gupta. Phone records show 14 calls. Transaction records show 5 transactions. Meeting records show 2 meetings.
REL00393,P0345,Karan Gupta 73681,P0164,Vikram Bansal,24,2024-06-05; 2025-09-30; 2026-03-23; 2024-08-27; 2024-01-10; 2024-05-19; 2024-01-17; 2024-05-17; 2024-12-04; 2025-02-14; 2025-08-10; 2024-04-20; 2024-08-08; 2024-07-28; 2026-06-17; 2024-01-11; 2024-08-23; 2024-01-23; 2024-08-12; 2024-07-21; 2024-09-16; 2025-02-22; 2025-04-24; 2025-03-27,397; 3126; 2955; 623; 2865; 1872; 3328; 1988; 1615; 3461; 163; 1912; 1868; 701; 3298; 2079; 2617; 2618; 1542; 3195; 3453; 1411; 1140; 3185,51412,5,2024-02-28; 2024-06-26; 2024-10-11; 2025-10-19; 2025-01-14,65209; 24693; 30510; 246850; 55361,422623.0,6,2026-07-21; 2024-08-24; 2026-01-22; 2025-08-18; 2025-07-23; 2026-02-27,Faridabad; Chandigarh; Gurugram; Ghaziabad; Delhi; Ghaziabad,1,0.8123,Colleague,Relationship evidence between Karan Gupta 73681 and Vikram Bansal. Phone records show 24 calls. Transaction records show 5 transactions. Meeting records show 6 meetings.
REL00394,P0135,Vikram Singh,P0048,Manish Singh,22,2026-04-08; 2026-01-29; 2026-03-27; 2026-07-28; 2026-02-28; 2024-01-17; 2024-04-03; 2025-04-10; 2026-01-04; 2024-06-15; 2024-06-16; 2025-11-08; 2026-03-27; 2024-05-15; 2024-10-26; 2024-02-23; 2026-06-21; 2025-01-17; 2024-02-29; 2025-03-25; 2026-04-13; 2026-06-18,1539; 907; 1762; 590; 1412; 1179; 1007; 1554; 1649; 268; 1763; 1035; 1375; 1362; 1475; 1074; 717; 1749; 593; 907; 276; 1334,25527,5,2026-03-16; 2026-05-02; 2025-09-07; 2026-08-16; 2026-06-01,25970; 36564; 8559; 52635; 49154,172882.0,4,2025-10-17; 2025-07-08; 2024-08-20; 2025-07-03,Chandigarh; Gurugram; Chandigarh; Gurugram,0,0.3188,Acquaintance,"Observed interaction between Vikram Singh and Manish Singh. Available records include 22 calls, 5 transactions, and 4 meetings. Evidence does not establish a meaningful relationship."
REL00395,P0066,Rohan Patel,P0185,Aditya Kumar,2,2026-04-01; 2025-08-21,820; 724,1544,2,2024-12-17; 2025-01-29,13417; 17990,31407.0,0,,,0,0.1058,Colleague,"Observed interaction between Rohan Patel and Aditya Kumar. Available records include 2 calls, 2 transactions, and 0 meetings. Evidence does not establish a meaningful relationship."
REL00396,P0261,Abhishek Verma,P0520,Arjun Agarwal 30984,5,2025-05-12; 2024-09-12; 2025-10-04; 2024-07-11; 2025-04-07,607; 807; 98; 833; 210,2555,0,,,0.0,0,,,0,0.0439,Acquaintance,"Observed interaction between Abhishek Verma and Arjun Agarwal 30984. Available records include 5 calls, 0 transactions, and 0 meetings. Evidence does not establish a meaningful relationship."
REL00397,P0087,Deepak Chauhan,P0089,Deepak Mehta,0,,,0,2,2025-06-09; 2024-02-12,8223; 23335,31558.0,1,2024-12-20,Lucknow,0,0.1514,Associate,"Observed interaction between Deepak Chauhan and Deepak Mehta. Available records include 0 calls, 2 transactions, and 1 meetings. Evidence does not establish a meaningful relationship."
REL00398,P0052,Nisha Pandey,P0076,Sahil Chauhan,1,2025-12-11,56,56,1,2026-03-28,21120,21120.0,2,2026-08-12; 2024-08-18,Agra; Gurugram,1,0.5558,Known Associate,Relationship evidence between Nisha Pandey and Sahil Chauhan. Phone records show 1 calls. Transaction records show 1 transactions. Meeting records show 2 meetings.
REL00399,P0258,Saurabh Mehta,P0364,Priya Pandey 64238,4,2026-06-26; 2026-07-07; 2026-02-21; 2024-04-22,525; 124; 196; 199,1044,1,2024-05-25,16629,16629.0,2,2026-08-26; 2025-02-01,Faridabad; Ghaziabad,0,0.0849,Colleague,"Observed interaction between Saurabh Mehta and Priya Pandey 64238. Available records include 4 calls, 1 transactions, and 2 meetings. Evidence does not establish a meaningful relationship."
REL00400,P0466,Shreya Patel,P0187,Karan Khan,1,2024-06-02,167,167,1,2024-04-25,12810,12810.0,2,2024-06-29; 2025-01-20,Meerut; Faridabad,1,0.6273,Colleague,Relationship evidence between Shreya Patel and Karan Khan. Phone records show 1 calls. Transaction records show 1 transactions. Meeting records show 2 meetings.
REL00401,P0392,Aditya Pandey,P0197,Divya Khan,1,2024-07-26,316,316,2,2024-10-28; 2024-11-05,15010; 1106,16116.0,1,2024-11-08,Lucknow,1,0.7022,Colleague,Relationship evidence between Aditya Pandey and Divya Khan. Phone records show 1 calls. Transaction records show 2 transactions. Meeting records show 1 meetings.
REL00402,P0512,Nikhil Sharma 82293,P0521,Deepak Yadav,23,2024-01-22; 2026-04-03; 2024-06-19; 2024-01-11; 2026-05-30; 2025-01-18; 2025-09-20; 2025-11-30; 2025-01-21; 2026-02-23; 2025-06-03; 2025-12-01; 2024-12-23; 2024-03-14; 2025-09-18; 2026-02-23; 2026-06-14; 2024-11-16; 2024-07-13; 2026-03-17; 2025-11-29; 2025-04-03; 2025-05-23,1174; 2675; 2995; 864; 1747; 1869; 2719; 2814; 976; 775; 2568; 3155; 1416; 1816; 1075; 1217; 877; 1972; 2159; 2062; 1426; 3375; 818,42544,6,2024-06-12; 2026-07-22; 2025-01-02; 2025-08-03; 2024-06-06; 2024-01-18,119670; 31116; 242212; 114691; 101564; 152275,761528.0,1,2024-03-26,Gurugram,0,0.4833,Colleague,"Observed interaction between Nikhil Sharma 82293 and Deepak Yadav. Available records include 23 calls, 6 transactions, and 1 meetings. Evidence does not establish a meaningful relationship."
REL00403,P0138,Nikhil Gupta,P0029,Vikram Gupta,35,2025-08-29; 2024-10-19; 2024-04-29; 2024-03-14; 2024-11-26; 2026-08-04; 2026-06-04; 2026-08-09; 2026-02-26; 2025-02-24; 2024-08-11; 2024-02-13; 2024-06-04; 2025-08-28; 2024-11-21; 2024-11-19; 2026-02-14; 2025-11-11; 2025-12-18; 2025-08-18; 2025-02-15; 2024-08-26; 2025-03-22; 2024-09-07; 2025-04-19; 2025-11-15; 2026-01-07; 2026-04-11; 2024-06-06; 2025-10-23; 2025-02-22; 2024-06-25; 2026-04-26; 2025-09-29; 2026-01-10,1335; 2840; 3249; 856; 295; 1887; 1664; 431; 1493; 2836; 1181; 2673; 2226; 230; 2767; 2859; 2377; 1511; 517; 916; 958; 3084; 558; 1033; 2801; 2324; 3234; 285; 298; 1236; 2470; 2309; 1039; 3005; 763,59540,5,2024-03-06; 2026-04-18; 2025-10-19; 2024-03-26; 2024-06-30,232954; 49803; 34736; 227274; 55323,600090.0,3,2026-03-11; 2024-03-19; 2025-01-16,Faridabad; Lucknow; Noida,1,0.9136,Acquaintance,Relationship evidence between Nikhil Gupta and Vikram Gupta. Phone records show 35 calls. Transaction records show 5 transactions. Meeting records show 3 meetings.
REL00404,P0552,Neha Kumar 22714,P0158,Akash Kumar,9,2025-02-15; 2024-11-01; 2026-07-04; 2024-01-09; 2024-04-16; 2026-02-20; 2025-08-19; 2024-04-22; 2025-06-27,354; 288; 589; 570; 79; 418; 336; 332; 788,3754,1,2024-05-16,22576,22576.0,3,2024-01-01; 2024-02-13; 2026-03-24,Jaipur; Gurugram; Agra,1,0.7284,Known Associate,Relationship evidence between Neha Kumar 22714 and Akash Kumar. Phone records show 9 calls. Transaction records show 1 transactions. Meeting records show 3 meetings.
REL00405,P0510,Karan Bansal 52695,P0453,Vikram Yadav 96722,9,2026-05-01; 2024-11-17; 2025-06-17; 2024-12-01; 2026-03-05; 2026-01-24; 2025-02-01; 2025-10-15; 2025-02-15,308; 428; 786; 338; 813; 783; 141; 630; 465,4692,1,2026-01-11,4736,4736.0,1,2024-08-10,Faridabad,1,0.6476,Acquaintance,Relationship evidence between Karan Bansal 52695 and Vikram Yadav 96722. Phone records show 9 calls. Transaction records show 1 transactions. Meeting records show 1 meetings.
REL00406,P0115,Nikhil Verma,P0145,Rahul Mehta 69879,39,2024-03-17; 2024-07-16; 2024-07-06; 2024-01-18; 2024-11-08; 2025-12-07; 2024-03-06; 2024-02-16; 2024-10-18; 2024-06-16; 2025-09-18; 2024-09-16; 2025-06-28; 2024-08-10; 2026-03-25; 2024-04-25; 2024-10-15; 2026-01-20; 2025-05-12; 2026-08-18; 2025-06-07; 2026-07-28; 2026-06-20; 2025-08-04; 2026-03-02; 2026-06-01; 2025-12-17; 2026-06-05; 2024-04-24; 2024-04-02; 2025-04-27; 2026-06-02; 2025-09-21; 2025-04-02; 2024-06-06; 2026-04-25; 2026-02-17; 2025-02-20; 2025-08-25,2616; 2553; 2630; 1257; 2476; 2948; 2277; 515; 2789; 778; 2224; 2980; 935; 574; 3132; 2370; 201; 353; 1018; 1889; 1849; 1798; 205; 3140; 2938; 3172; 808; 3012; 128; 375; 142; 1544; 925; 3183; 780; 2328; 1498; 912; 2348,67600,5,2025-02-09; 2024-07-12; 2026-06-12; 2024-04-08; 2024-01-04,94348; 175624; 22166; 95626; 222235,609999.0,3,2024-07-02; 2024-10-03; 2024-09-07,Lucknow; Ghaziabad; Lucknow,1,0.9133,Acquaintance,Relationship evidence between Nikhil Verma and Rahul Mehta 69879. Phone records show 39 calls. Transaction records show 5 transactions. Meeting records show 3 meetings.
REL00407,P0364,Priya Pandey 64238,P0567,Rohan Pandey 67265,1,2024-06-24,695,695,1,2026-03-08,18999,18999.0,2,2026-02-24; 2025-09-18,Delhi; Delhi,0,0.1634,Acquaintance,"Observed interaction between Priya Pandey 64238 and Rohan Pandey 67265. Available records include 1 calls, 1 transactions, and 2 meetings. Evidence does not establish a meaningful relationship."
REL00408,P0547,Deepak Sharma 15265,P0443,Sneha Khanna 9925,6,2026-08-13; 2024-09-06; 2026-05-28; 2024-08-20; 2024-06-30; 2026-05-14,589; 231; 533; 644; 414; 709,3120,1,2026-03-19,7179,7179.0,1,2024-08-07,Chandigarh,0,0.1486,Colleague,"Observed interaction between Deepak Sharma 15265 and Sneha Khanna 9925. Available records include 6 calls, 1 transactions, and 1 meetings. Evidence does not establish a meaningful relationship."
REL00409,P0086,Pooja Bansal,P0518,Sahil Malhotra 77265,25,2025-02-11; 2025-04-10; 2024-04-17; 2024-09-10; 2025-03-20; 2025-07-19; 2024-11-08; 2026-03-06; 2024-04-21; 2024-01-01; 2024-03-17; 2024-07-13; 2024-06-07; 2025-11-10; 2025-06-01; 2026-03-21; 2024-06-09; 2024-07-24; 2026-07-10; 2024-08-19; 2026-01-04; 2025-09-15; 2024-06-05; 2024-04-11; 2025-11-20,2334; 3598; 2201; 3114; 1036; 1550; 885; 2008; 3139; 2577; 3103; 379; 2284; 2073; 1452; 3020; 3250; 3135; 2988; 201; 1783; 2095; 2139; 1699; 509,52552,2,2025-10-28; 2024-02-14,120753; 208054,328807.0,6,2025-10-06; 2026-01-10; 2025-01-14; 2026-04-25; 2025-08-18; 2024-06-20,Delhi; Lucknow; Lucknow; Noida; Faridabad; Ghaziabad,0,0.4696,Business Contact,"Observed interaction between Pooja Bansal and Sahil Malhotra 77265. Available records include 25 calls, 2 transactions, and 6 meetings. Evidence does not establish a meaningful relationship."
REL00410,P0131,Aman Agarwal,P0479,Kavya Malhotra,3,2025-04-16; 2026-07-29; 2025-05-30,731; 133; 380,1244,1,2025-08-30,14229,14229.0,0,,,0,0.207,Former Partner,"Observed interaction between Aman Agarwal and Kavya Malhotra. Available records include 3 calls, 1 transactions, and 0 meetings. Evidence does not establish a meaningful relationship."
REL00411,P0547,Deepak Sharma 15265,P0253,Yash Bansal 88806,5,2024-07-01; 2026-01-22; 2025-11-22; 2024-01-18; 2026-01-03,861; 769; 174; 738; 420,2962,1,2025-01-20,12579,12579.0,3,2025-12-13; 2026-04-21; 2025-02-12,Lucknow; Jaipur; Gurugram,1,0.6335,Former Partner,Relationship evidence between Deepak Sharma 15265 and Yash Bansal 88806. Phone records show 5 calls. Transaction records show 1 transactions. Meeting records show 3 meetings.
REL00412,P0363,Neha Singh 41516,P0589,Vikram Sharma 51362,1,2024-07-28,335,335,1,2025-09-23,17120,17120.0,1,2025-08-30,Agra,0,0.313,Associate,"Observed interaction between Neha Singh 41516 and Vikram Sharma 51362. Available records include 1 calls, 1 transactions, and 1 meetings. Evidence does not establish a meaningful relationship."
REL00413,P0167,Vikram Chauhan 10364,P0352,Priya Mehta 17710,12,2025-10-13; 2024-01-10; 2026-02-21; 2025-03-31; 2026-01-25; 2024-11-01; 2026-06-26; 2024-05-19; 2025-08-16; 2026-06-01; 2025-09-14; 2024-01-24,1942; 1218; 2689; 2066; 704; 3252; 2648; 1807; 1852; 2537; 1367; 377,22459,5,2026-02-21; 2025-03-24; 2025-08-10; 2025-09-25; 2025-02-09,136990; 15660; 157439; 11008; 155030,476127.0,6,2026-03-11; 2025-09-01; 2025-04-13; 2024-11-10; 2025-12-03; 2025-11-27,Chandigarh; Faridabad; Lucknow; Meerut; Agra; Agra,0,0.2995,Acquaintance,"Observed interaction between Vikram Chauhan 10364 and Priya Mehta 17710. Available records include 12 calls, 5 transactions, and 6 meetings. Evidence does not establish a meaningful relationship."
REL00414,P0283,Yash Bansal 88919,P0078,Rohan Yadav,24,2025-02-24; 2025-04-18; 2024-09-05; 2024-10-22; 2026-05-09; 2025-04-14; 2025-06-15; 2026-08-24; 2025-10-07; 2024-12-17; 2024-07-30; 2025-02-12; 2026-01-20; 2025-08-18; 2025-07-03; 2026-04-07; 2025-06-30; 2024-04-19; 2025-01-24; 2024-10-26; 2026-03-06; 2025-08-21; 2025-06-30; 2024-01-29,1206; 1307; 1414; 160; 3365; 2597; 802; 2835; 2741; 2228; 3422; 1735; 160; 1458; 820; 604; 3543; 248; 791; 1752; 691; 1998; 280; 1744,37901,7,2025-02-13; 2024-10-23; 2025-07-20; 2025-09-08; 2026-07-12; 2024-03-03; 2024-01-19,230166; 152701; 56960; 80925; 150153; 228513; 76234,975652.0,2,2025-01-02; 2025-06-16,Noida; Ghaziabad,1,0.7501,Former Partner,Relationship evidence between Yash Bansal 88919 and Rohan Yadav. Phone records show 24 calls. Transaction records show 7 transactions. Meeting records show 2 meetings.
REL00415,P0553,Aman Chauhan 20789,P0587,Abhishek Bansal 29880,4,2024-12-03; 2025-05-09; 2024-11-08; 2025-11-13,854; 573; 584; 262,2273,2,2025-09-25; 2025-09-01,24646; 16023,40669.0,0,,,1,0.5286,Former Partner,Relationship evidence between Aman Chauhan 20789 and Abhishek Bansal 29880. Phone records show 4 calls. Transaction records show 2 transactions. Meeting records show 0 meetings.
REL00416,P0109,Rohan Verma,P0567,Rohan Pandey 67265,3,2024-06-01; 2026-08-05; 2025-04-02,827; 399; 33,1259,0,,,0.0,0,,,0,0.0261,Business Contact,"Observed interaction between Rohan Verma and Rohan Pandey 67265. Available records include 3 calls, 0 transactions, and 0 meetings. Evidence does not establish a meaningful relationship."
REL00417,P0218,Aditya Agarwal,P0048,Manish Singh,15,2026-02-17; 2025-11-26; 2025-02-16; 2024-04-14; 2025-08-29; 2026-06-28; 2026-06-09; 2026-03-08; 2025-09-02; 2024-12-30; 2025-10-22; 2024-07-27; 2024-01-18; 2026-07-22; 2026-08-31,792; 853; 659; 258; 1202; 594; 1631; 1217; 452; 1750; 957; 1168; 1421; 1789; 662,15405,5,2025-03-18; 2025-04-04; 2025-08-06; 2024-02-23; 2025-05-29,64895; 4556; 17507; 71575; 63879,222412.0,4,2024-06-14; 2025-02-28; 2026-06-18; 2025-10-20,Delhi; Delhi; Noida; Ghaziabad,1,0.6911,Acquaintance,Relationship evidence between Aditya Agarwal and Manish Singh. Phone records show 15 calls. Transaction records show 5 transactions. Meeting records show 4 meetings.
REL00418,P0126,Raj Khanna,P0049,Amit Khan,13,2025-09-07; 2025-09-01; 2026-08-18; 2024-02-14; 2025-02-06; 2025-05-10; 2024-10-07; 2025-11-12; 2024-12-17; 2025-03-08; 2025-07-26; 2026-07-13; 2026-08-09,1761; 3472; 1652; 795; 1352; 278; 1667; 700; 3345; 3307; 636; 598; 1445,21008,5,2026-07-21; 2024-12-18; 2025-09-17; 2025-09-03; 2025-03-22,238653; 135222; 45894; 92687; 121534,633990.0,3,2026-02-25; 2024-07-01; 2024-07-07,Gurugram; Noida; Agra,0,0.2028,Business Contact,"Observed interaction between Raj Khanna and Amit Khan. Available records include 13 calls, 5 transactions, and 3 meetings. Evidence does not establish a meaningful relationship."
REL00419,P0242,Riya Agarwal,P0221,Divya Verma 65032,25,2025-05-25; 2024-11-10; 2025-05-06; 2026-07-11; 2025-02-02; 2024-11-06; 2025-07-08; 2024-10-22; 2025-12-02; 2026-03-15; 2024-11-29; 2025-01-16; 2025-09-03; 2024-08-16; 2025-09-07; 2025-03-23; 2024-11-30; 2024-06-23; 2024-04-08; 2026-05-18; 2026-04-23; 2026-04-17; 2024-08-25; 2025-07-01; 2024-08-18,700; 72; 1061; 1760; 227; 340; 648; 742; 1552; 772; 506; 268; 400; 1496; 1757; 1280; 175; 66; 1577; 570; 867; 321; 1408; 438; 247,19250,5,2026-08-10; 2026-06-08; 2024-03-10; 2026-08-09; 2026-01-04,63905; 33041; 20767; 62727; 66835,247275.0,4,2024-06-09; 2025-03-11; 2026-03-01; 2024-10-04,Lucknow; Lucknow; Ghaziabad; Agra,0,0.3213,Colleague,"Observed interaction between Riya Agarwal and Divya Verma 65032. Available records include 25 calls, 5 transactions, and 4 meetings. Evidence does not establish a meaningful relationship."
REL00420,P0329,Priya Mehta,P0568,Anjali Gupta,10,2025-11-28; 2026-05-11; 2024-12-20; 2024-05-23; 2025-12-30; 2026-05-29; 2024-11-16; 2024-04-13; 2025-02-19; 2024-04-28,2177; 1462; 2123; 1628; 2638; 464; 1957; 392; 344; 1496,14681,3,2026-07-27; 2024-02-23; 2025-06-25,233262; 176915; 22363,432540.0,5,2025-01-06; 2024-11-11; 2025-09-05; 2024-04-04; 2024-09-21,Chandigarh; Chandigarh; Faridabad; Faridabad; Chandigarh,0,0.2806,Business Contact,"Observed interaction between Priya Mehta and Anjali Gupta. Available records include 10 calls, 3 transactions, and 5 meetings. Evidence does not establish a meaningful relationship."
REL00421,P0375,Ravi Singh 33587,P0220,Pooja Agarwal,8,2026-06-13; 2025-06-25; 2026-01-19; 2026-01-31; 2026-05-23; 2026-01-19; 2024-10-29; 2024-04-24,1766; 1676; 1788; 1004; 303; 789; 1249; 674,9249,2,2025-12-20; 2026-04-05,62222; 28140,90362.0,4,2024-09-23; 2024-10-23; 2026-05-17; 2026-07-11,Agra; Ghaziabad; Delhi; Meerut,1,0.6264,Business Contact,Relationship evidence between Ravi Singh 33587 and Pooja Agarwal. Phone records show 8 calls. Transaction records show 2 transactions. Meeting records show 4 meetings.
REL00422,P0523,Anjali Verma 14527,P0548,Vikram Sharma,26,2025-06-26; 2024-08-10; 2025-03-07; 2024-03-26; 2026-06-13; 2026-03-17; 2024-03-11; 2025-12-05; 2024-07-24; 2024-09-02; 2026-04-25; 2025-10-21; 2025-06-17; 2026-07-29; 2025-09-07; 2024-07-05; 2025-03-13; 2026-08-16; 2024-02-08; 2025-06-09; 2025-04-30; 2025-06-02; 2025-07-01; 2026-06-29; 2024-06-28; 2026-04-11,2400; 399; 1564; 3373; 833; 2085; 2345; 2066; 924; 159; 1288; 3508; 2392; 1900; 873; 1414; 2922; 376; 1403; 863; 620; 1943; 2952; 1372; 1793; 1458,43225,6,2026-05-01; 2025-11-07; 2024-08-05; 2026-08-06; 2024-12-01; 2026-01-16,69356; 136518; 222904; 221229; 215586; 144180,1009773.0,2,2024-02-21; 2024-04-13,Lucknow; Agra,1,0.9486,Associate,Relationship evidence between Anjali Verma 14527 and Vikram Sharma. Phone records show 26 calls. Transaction records show 6 transactions. Meeting records show 2 meetings.
REL00423,P0365,Akash Gupta 34518,P0436,Yash Pandey,20,2025-05-23; 2024-03-30; 2026-01-22; 2025-05-05; 2025-03-29; 2026-01-30; 2025-01-22; 2026-08-13; 2024-06-15; 2025-08-29; 2026-04-08; 2025-02-11; 2025-08-25; 2026-08-12; 2024-03-07; 2024-11-13; 2024-08-17; 2024-08-02; 2026-04-13; 2025-02-09,679; 2527; 2596; 2477; 1172; 1660; 2696; 3371; 1881; 1193; 1518; 335; 2616; 2526; 2475; 2519; 3357; 238; 2944; 271,39051,4,2024-04-24; 2024-02-19; 2025-06-29; 2025-09-01,155254; 99203; 135748; 69736,459941.0,3,2025-08-14; 2024-01-18; 2025-06-28,Ghaziabad; Meerut; Gurugram,0,0.2333,Colleague,"Observed interaction between Akash Gupta 34518 and Yash Pandey. Available records include 20 calls, 4 transactions, and 3 meetings. Evidence does not establish a meaningful relationship."
